"voici le résultat obtenu en ""print"", je ne parviens pas à écrire dans le csv : "
['kevinsawicki' '4']
 ['michalbe' '4']
 ['taylorotwell' '0']
 ['michaelklishin' '12']
 ['brianchandotcom' '8']
 ['qiangxue' '0']
 ['fabpot' '389']
 ['mitchellh' '76']
 ['cvrebert' '11']
 ['substack' '20']
 ['ornicar' '5']
 ['jonathanong' '10']
 ['mikermcneil' '0']
 ['hadley' '75']
 ['weierophinney' '10']
 ['jdalton' '13']
 ['feross' '14']
 ['springmeyer' '8']
 ['sahat' '1']
 ['thomasdavis' '131']
 ['rkh' '26']
 ['SamyPesse' '519']
 ['stefanpenner' '0']
 ['kytrinyx' '9']
 ['tmcw' '21']
 ['mdo' '396']
 ['dcramer' '53']
 ['addyosmani' '375']
 ['mafintosh' '4']
 ['balupton' '9']
 ['samdark' '13']
 ['weaverryan' '1']
 ['remy' '17']
 ['c9s' '5']
 ['zenorocha' '208']
 ['dominictarr' '4']
 ['bergie' '147']
 ['visionmedia' '699']
 ['pippinsplugins' '5']
 ['kripken' '317']
 ['josevalim' '158']
 ['kohsuke' '12']
 ['mrmrs' '182']
 ['Raynos' '4']
 ['dg' '17']
 ['ekmett' '9']
 ['sferik' '2']
 ['rafaelfranca' '0']
 ['evancz' '12']
 ['mathiasbynens' '333']
 ['zcbenz' '41']
 ['swannodette' '26']
 ['Ocramius' '2']
 ['FooBarWidget' '29']
 ['indutny' '19']
 ['mythz' '76']
 ['roojs' '28']
 ['creationix' '9']
 ['jamesward' '0']
 ['titanous' '1']
 ['snoyberg' '9']
 ['mattn' '8']
 ['markstory' '26']
 ['rstacruz' '81']
 ['tokuhirom' '5']
 ['bbatsov' '53']
 ['probablycorey' '143']
 ['alex' '3']
 ['ianstormtaylor' '5']
 ['r7kamura' '18']
 ['TooTallNate' '24']
 ['jwiegley' '6']
 ['ErisDS' '4']
 ['maxogden' '91']
 ['jordansissel' '145']
 ['ingydotnet' '3']
 ['julycoding' '1641']
 ['jeromeetienne' '11']
 ['armon' '67']
 ['3rd-Eden' '7']
 ['mattt' '339']
 ['avelino' '140']
 ['jgm' '109']
 ['obviousjim' '11']
 ['benbalter' '3']
 ['orta' '31']
 ['clkao' '3']
 ['PaulKinlan' '3']
 ['tenderlove' '10']
 ['karan' '17']
 ['audreyt' '14']
 ['JakeWharton' '579']
 ['Shougo' '183']
 ['madskristensen' '20']
 ['fsouza' '0']
 ['ebidel' '76']
 ['eduardolundgren' '12']
 ['willdurand' '61']
 ['HugoGiraudel' '18']
 ['hueniverse' '150']
 ['rvagg' '16']
 ['agentzh' '11']
 ['paulcbetts' '4']
 ['steipete' '308']
 ['juliangruber' '10']
 ['stof' '0']
 ['purcell' '3']
 ['mikolalysenko' '3']
 ['ujihisa' '3']
 ['torvalds' '8680']
 ['mikejolley' '49']
 ['arunoda' '3']
 ['jlord' '29']
 ['fengmk2' '0']
 ['contra' '2']
 ['jspahrsummers' '107']
 ['lsmith77' '0']
 ['yyx990803' '37']
 ['necolas' '245']
 ['ayende' '8']
 ['Unknwon' '130']
 ['SamSaffron' '13']
 ['example42' '3']
 ['ask' '26']
 ['passy' '24']
 ['xhzengAIB' '35']
 ['rdegges' '36']
 ['lepture' '55']
 ['chrisdone' '21']
 ['nacin' '0']
 ['radar' '20']
 ['hsbt' '1']
 ['btford' '76']
 ['yihui' '39']
 ['ericholscher' '26']
 ['andrewsmedina' '0']
 ['josh' '57']
 ['dfm' '1']
 ['ednapiranha' '2']
 ['mourner' '93']
 ['ai' '82']
 ['sole' '8']
 ['freddix' '0']
 ['drnic' '14']
 ['heynemann' '4']
 ['magnars' '36']
 ['faux123' '1']
 ['leafo' '37']
 ['mcollina' '6']
 ['klen' '17']
 ['davidfowl' '12']
 ['isaacs' '16']
 ['kraih' '110']
 ['mmalecki' '2']
 ['tpope' '100']
 ['marijnh' '183']
 ['mizzy' '2']
 ['photonstorm' '429']
 ['fool2fish' '58']
 ['jezdez' '31']
 ['josegonzalez' '13']
 ['robdodson' '5']
 ['vhf' '1097']
 ['rpflorence' '5']
 ['twada' '18']
 ['ShawnMcCool' '28']
 ['mrdoob' '1014']
 ['caitp' '14']
 ['bfirsh' '16']
 ['soyjavi' '6']
 ['jaredhanson' '19']
 ['jtauber' '59']
 ['mhartl' '36']
 ['migurski' '18']
 ['headius' '12']
 ['benoitc' '22']
 ['Haacked' '12']
 ['timoxley' '1']
 ['kana' '5']
 ['gka' '43']
 ['codegangsta' '154']
 ['steveklabnik' '4']
 ['darkwing' '1']
 ['cjohansen' '4']
 ['weavejester' '100']
 ['roidrage' '9']
 ['csswizardry' '397']
 ['cyanogen' '8']
 ['connors' '25']
 ['shiffman' '22']
 ['HenrikJoreteg' '23']
 ['bryanveloso' '3']
 ['samuelclay' '199']
 ['sebastianbergmann' '239']
 ['jsuereth' '3']
 ['tommy351' '17']
 ['turingou' '29']
 ['azer' '35']
 ['fogus' '67']
 ['Cocoanetics' '148']
 ['philsturgeon' '78']
 ['vojtajina' '1']
 ['guille' '15']
 ['domenic' '22']
 ['rakyll' '84']
 ['antirez' '487']
 ['bradfitz' '83']
 ['xinyu198736' '8']
 ['miguelgrinberg' '37']
 ['sorah' '2']
 ['olivergierke' '11']
 ['coolwanglu' '120']
 ['ricardoquesada' '2']
 ['shama' '4']
 ['DataTables' '141']
 ['gitster' '73']
 ['matz' '27']
 ['RubyLouvre' '43']
 ['pydanny' '48']
 ['hotoo' '5']
 ['kangax' '157']
 ['mxcl' '107']
 ['davecheney' '5']
 ['justintadlock' '32']
 ['mnot' '44']
 ['tmpvar' '3']
 ['MatthewMueller' '24']
 ['tonymorris' '14']
 ['jakevdp' '9']
 ['michael' '66']
 ['yuvipanda' '1']
 ['Constellation' '42']
 ['mbostock' '1077']
 ['yinwang0' '262']
 ['mitsuhiko' '494']
 ['apotonick' '146']
 ['paulmillr' '100']
 ['bos' '33']
 ['AdamBien' '13']
 ['gnuwilliam' '1']
 ['tbranyen' '64']
 ['happypeter' '6']
 ['defunctzombie' '5']
 ['geemus' '15']
 ['mgcrea' '172']
 ['phuslu' '5']
 ['alloy' '16']
 ['gfx' '2']
 ['karmi' '25']
 ['dustin' '12']
 ['swankjesse' '38']
 ['andrew' '10']
 ['michaelficarra' '64']
 ['schneems' '4']
 ['charliesome' '161']
 ['sandal' '7']]
