,Type,value
0,ESSENCE 0.9 TCE 90 ENERGY ARIZONA ECO2,16100
1,ESSENCE 0.9 TCE 90 ENERGY S&S INTENS ECO2,15500
2,ESSENCE 0.9 TCE 90 ENERGY S&S LIFE ECO2,12700
3,ESSENCE 0.9 TCE 90 ENERGY S&S ZEN ECO2,14200
4,ESSENCE 1.2 TCE 120 ARIZONA EDC,17200
5,ESSENCE 1.2 TCE 120 INTENS EDC,17800
6,ESSENCE 1.2 TCE 120 ZEN EDC,16000
7,DIESEL 1.5 DCI 90 ARIZONA EDC ECO2,18300
8,DIESEL 1.5 DCI 90 BUSINESS EDC,17600
9,DIESEL 1.5 DCI 90 ENERGY ARIZONA ECO2,17100
10,DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,16100
11,DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,17700
12,DIESEL 1.5 DCI 90 ENERGY S&S LIFE ECO2,14600
13,DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,16000
14,DIESEL 1.5 DCI 90 INTENS EDC,17500
15,DIESEL 1.5 DCI 90 ZEN EDC,16200
