User,Stars
torvalds,8654.5
julycoding,1635.6666666666667
vhf,1090.857142857143
mrdoob,1012.55
mbostock,815.8863636363636
visionmedia,696.5555555555555
SamyPesse,518.4
necolas,491.9318181818182
photonstorm,427.7647058823529
JakeWharton,401.758064516129
csswizardry,397.53846153846155
mdo,395.88461538461536
fabpot,388.52941176470586
antirez,387.25581395348837
tpope,365.38461538461536
mattt,334.6666666666667
steipete,308.4
bbatsov,267.6865671641791
yinwang0,262.6
kripken,236.64583333333334
mitchellh,224.46575342465752
mitsuhiko,200.04166666666666
samuelclay,199.11111111111111
marijnh,183.34615384615384
coolwanglu,177.2058823529412
Shougo,169.475
sebastianbergmann,164.52173913043478
josevalim,164.5185185185185
hueniverse,150.0909090909091
jgm,149.16666666666666
probablycorey,142.92857142857142
DataTables,141.4090909090909
Cocoanetics,139.3125
apotonick,129.57142857142858
Unknwon,129.30769230769232
rstacruz,123.58974358974359
codegangsta,118.53846153846153
ai,113.125
remy,111.08849557522124
kraih,110.28571428571429
sahat,107.42477876106194
mxcl,106.75
addyosmani,106.46666666666667
jspahrsummers,97.75
zenorocha,94.58333333333333
kangax,94.54385964912281
mourner,93.21052631578948
karan,92.8953488372093
yyx990803,81.35
sferik,80.70503597122303
mathiasbynens,79.415
mythz,76.54166666666667
gitster,73.4
swannodette,69.55670103092784
josh,68.50943396226415
fogus,67.58823529411765
armon,63.28125
bradfitz,62.642857142857146
ebidel,61.473684210526315
leafo,61.0
eduardolundgren,59.93939393939394
michael,59.48979591836735
fool2fish,58.111111111111114
substack,57.69335347432024
creationix,56.31879194630873
weavejester,56.04807692307692
klen,54.17857142857143
paulmillr,53.73134328358209
mgcrea,51.77272727272727
willdurand,51.65
jordansissel,51.110236220472444
soyjavi,49.44897959183673
mikejolley,49.1
bergie,49.076190476190476
karmi,48.810810810810814
thomasdavis,47.43809523809524
hadley,45.45378151260504
feross,43.80597014925373
avelino,42.83185840707964
HenrikJoreteg,42.42857142857143
shiffman,42.25
rakyll,41.888888888888886
zcbenz,41.629629629629626
mnot,41.583333333333336
philsturgeon,40.13846153846154
lepture,39.16260162601626
benoitc,38.35766423357664
swankjesse,38.285714285714285
charliesome,37.67741935483871
cjohansen,37.075949367088604
bos,36.36363636363637
madskristensen,36.023809523809526
miguelgrinberg,35.8
jaredhanson,35.744360902255636
mrmrs,35.42259414225941
chrisdone,34.45205479452055
alloy,34.27067669172932
dcramer,33.718120805369125
btford,32.707207207207205
magnars,32.635416666666664
mhartl,32.55263157894737
TooTallNate,31.43362831858407
rvagg,31.234146341463415
yihui,30.849056603773583
RubyLouvre,30.81159420289855
jtauber,29.636363636363637
isaacs,29.55666666666667
jlord,28.810526315789474
roojs,28.8
ShawnMcCool,28.307692307692307
guille,27.835616438356166
xhzengAIB,27.41509433962264
matz,27.0
bfirsh,26.896551724137932
schneems,26.43661971830986
SamSaffron,26.28205128205128
domenic,26.227272727272727
radar,25.865591397849464
ayende,25.79746835443038
connors,25.142857142857142
maxogden,25.042513863216268
jeromeetienne,24.27179487179487
ask,23.163636363636364
pydanny,22.927007299270073
indutny,22.477272727272727
markstory,21.441860465116278
justintadlock,20.94736842105263
jezdez,20.744444444444444
3rd-Eden,20.5
turingou,20.3855421686747
gka,20.36764705882353
Constellation,19.78125
sole,19.746153846153845
josegonzalez,19.632183908045977
tmpvar,19.477366255144034
mafintosh,19.285223367697593
tbranyen,19.21917808219178
jakevdp,19.176470588235293
FooBarWidget,19.092307692307692
twada,18.96551724137931
dg,18.884615384615383
alex,18.677884615384617
samdark,18.510204081632654
tenderlove,17.768421052631577
HugoGiraudel,17.194444444444443
dustin,16.66169154228856
michaelficarra,16.64566929133858
michaelklishin,16.274193548387096
Haacked,15.954545454545455
vojtajina,15.91304347826087
r7kamura,15.362204724409448
rkh,15.056818181818182
kana,15.016666666666667
rpflorence,14.8
tommy351,14.722222222222221
kevinsawicki,14.300751879699249
roidrage,13.868217054263566
headius,13.817518248175183
jdalton,13.714285714285714
azer,13.408921933085502
rdegges,13.222222222222221
MatthewMueller,13.065843621399177
orta,12.96116504854369
AdamBien,12.878787878787879
mattn,12.847765363128492
migurski,12.839506172839506
tmcw,12.836842105263157
arunoda,12.833333333333334
drnic,12.703296703296703
davecheney,12.6328125
dominictarr,12.508553654743391
evancz,12.478260869565217
c9s,12.354477611940299
paulcbetts,12.282442748091603
stefanpenner,12.207468879668049
ericholscher,12.12
ornicar,12.061904761904762
andrew,12.028901734104046
cvrebert,11.954545454545455
PaulKinlan,11.617391304347827
titanous,11.572463768115941
defunctzombie,11.564220183486238
dfm,11.441379310344828
olivergierke,11.09375
ekmett,10.837078651685394
kytrinyx,10.81081081081081
sandal,10.797619047619047
davidfowl,10.763636363636364
balupton,10.5
audreyt,10.41095890410959
example42,10.206349206349206
agentzh,10.204081632653061
jonathanong,10.076923076923077
geemus,9.921875
jwiegley,9.669856459330143
benbalter,9.63063063063063
kohsuke,8.754838709677419
cyanogen,8.75
heynemann,8.748251748251748
mcollina,8.56
steveklabnik,8.554347826086957
jsuereth,8.513513513513514
xinyu198736,8.446428571428571
brianchandotcom,8.333333333333334
weierophinney,7.414893617021277
obviousjim,7.355555555555555
michalbe,7.014084507042254
happypeter,6.977777777777778
rafaelfranca,6.931818181818182
juliangruber,6.585470085470085
pippinsplugins,6.569444444444445
hotoo,6.4324324324324325
jamesward,6.12156862745098
shama,6.021201413427562
Ocramius,5.95679012345679
phuslu,5.9
springmeyer,5.631578947368421
Raynos,5.4989690721649485
tonymorris,5.495495495495495
ianstormtaylor,5.432
caitp,5.409090909090909
darkwing,4.933333333333334
snoyberg,4.84
passy,4.833333333333333
purcell,4.771717171717172
mikolalysenko,4.566037735849057
tokuhirom,4.362126245847176
contra,4.27683615819209
fsouza,4.274074074074074
ErisDS,4.114285714285714
timoxley,4.0
bryanveloso,3.9420289855072466
sorah,3.7151515151515153
stof,3.4571428571428573
faux123,3.1603053435114505
robdodson,3.117283950617284
fengmk2,3.088235294117647
mizzy,3.036697247706422
ednapiranha,2.9159663865546217
ujihisa,2.8884615384615384
mmalecki,2.7859922178988326
ingydotnet,2.7775280898876407
gfx,2.6363636363636362
weaverryan,2.5842696629213484
ricardoquesada,2.2711864406779663
clkao,2.1728395061728394
hsbt,1.7909604519774012
yuvipanda,1.7155963302752293
mikermcneil,1.3421052631578947
gnuwilliam,1.3013698630136987
andrewsmedina,1.1043956043956045
lsmith77,0.9642857142857143
nacin,0.8387096774193549
freddix,0.7630331753554502
taylorotwell,0.0
